"PC1","PC2","name","gender","decade"
3.64512744201373,1.42211139111468,"Oscar","male","1870s"
2.47435467854137,0.569240215394042,"Willie","androgynous","1870s"
-5.56541023326856,-14.6859648877662,"Daniel","male","1870s"
1.13526924458355,-3.43405545369002,"Benjamin","male","1870s"
1.44991601846279,-0.506689866145356,"Carl","male","1870s"
-5.22266533565704,-4.62739230639374,"Sam","male","1870s"
-0.470914137820723,-6.10443717995774,"Alfred","male","1870s"
2.18980173377223,1.51388432787782,"Earl","male","1870s"
-6.3597089876451,-16.1804557813938,"Peter","male","1870s"
4.70681735640454,3.50678735481636,"Elmer","male","1870s"
-2.28113861623701,-7.84993396181238,"Frederick","male","1870s"
-8.83384249787827,-13.1661902135046,"Howard","male","1870s"
-9.1799340005493,-18.9632687076137,"Lewis","male","1870s"
3.93482753624401,2.69028529536413,"Ralph","male","1870s"
2.92057378044149,0.386826054057846,"Herbert","male","1870s"
-18.2488398956223,-24.4075212111552,"Paul","male","1870s"
-13.7774314173483,-16.9247229218004,"Lee","male","1870s"
-9.66816660250552,-5.52395909643529,"Tom","male","1870s"
1.48237209978439,0.663304016527152,"Herman","male","1870s"
-7.48071325346932,-18.2548930481152,"Martin","male","1870s"
-7.40791193568062,-18.4375088774399,"Jacob","male","1870s"
-1.06482352110027,-9.35370784298495,"Michael","male","1870s"
-2.53895897147227,-2.14874364831106,"Jim","male","1870s"
4.40635713887867,3.10641776421361,"Claude","male","1870s"
-14.1902809464684,-18.0572632096224,"Ben","male","1870s"
2.86293268750668,-0.133684527764775,"Eugene","male","1870s"
-2.7852061530484,-8.86722374154916,"Francis","male","1870s"
3.64901186899079,2.21042738768172,"Grover","male","1870s"
2.96116095715105,0.864390059508397,"Raymond","male","1870s"
2.55816411029665,-0.443709901899225,"Harvey","male","1870s"
3.00293413217743,0.847512071796026,"Clyde","male","1870s"
2.09990144202796,-1.24413400640625,"Edwin","male","1870s"
4.00024392634979,2.02260914815716,"Edgar","male","1870s"
-97.8622526515724,-37.9292973187815,"Ed","male","1870s"
-2.60413164578555,-5.40513132134746,"Lawrence","male","1870s"
3.00737578152936,2.08943189793724,"Bert","male","1870s"
-3.27678941424755,-5.34507294491481,"Chester","male","1870s"
-4.47383576306033,-5.88262436090853,"Jack","male","1870s"
2.57714230509923,0.877162990004605,"Otto","male","1870s"
4.00964369949733,2.29645284350141,"Luther","male","1870s"
1.72712426028445,1.18947649559567,"Charley","male","1870s"
3.85755598509611,2.60797077184634,"Guy","male","1870s"
3.98074917142268,2.33360322766733,"Floyd","male","1870s"
-4.380041127549,-3.62162513749881,"Ira","male","1870s"
-3.7007038230593,-0.708844499053554,"Ray","male","1870s"
1.46159410403698,-2.5036203440918,"Hugh","male","1870s"
-2.28249369728269,-9.86665703794368,"Isaac","male","1870s"
0.113025025210775,-2.9004011512829,"Oliver","male","1870s"
-0.954858794231665,-7.74264369373559,"Patrick","male","1870s"
3.65885955833749,2.35786793509283,"Homer","male","1870s"
2.13911370233207,0.248160858919447,"Theodore","male","1870s"
1.680237359902,-1.72100970235139,"Leonard","male","1870s"
1.85926231514103,0.555795299073124,"Leo","male","1870s"
-4.20553006054982,-11.534923983288,"Alexander","male","1870s"
-42.358417984149,-58.6469311309522,"August","male","1870s"
4.59508008016807,3.5813871117461,"Harold","male","1870s"
-18.9275505026826,-38.6200470235105,"Allen","male","1870s"
4.2198737126831,2.8673813426039,"Jessie","androgynous","1870s"
4.80190922349835,3.74985168502824,"Archie","male","1870s"
0.470516567653077,-3.47470120036883,"Philip","male","1870s"
1.67849468075806,-2.05056565505232,"Stephen","male","1870s"
-0.545868312472774,-1.6174269723308,"Horace","male","1870s"
1.2634000821257,-1.06124688832015,"Marion","androgynous","1870s"
2.83201510606607,0.642816911278223,"Bernard","male","1870s"
1.46021087530212,-1.43242324764348,"Anthony","male","1870s"
